genres_position0,genres_position1,genres_position2,genres_freq,production_companies_position0,production_companies_position1,production_companies_freq,director_position0,director_freq
Fantasy,Drama,Romance,2,others,others,1,Richardlagravenese,2
Animation,Family,Comedy,3,others,others,4,Codycameron,1
Animation,Family,Adventure,2,WaltDisneyPictures,others,5,Chrisbuck,1
Comedy,no option,no option,138,others,others,1,Adammckay,4
Comedy,no option,no option,138,others,LegendaryPictures,1,Toddphillips,4
Comedy,Crime,no option,14,others,others,1,Sethgordon,3
Horror,no option,no option,50,others,others,1,Fedealvarez,3
Action,Drama,Thriller,11,others,others,1,Paulgreengrass,3
Thriller,Crime,Drama,10,others,others,1,Stevensoderbergh,8
Comedy,no option,no option,138,others,others,1,Dennisdugan,3
Music,Drama,no option,12,others,others,3,Bensonlee,2
Action,Comedy,no option,14,others,others,1,Evangoldberg,2
Drama,no option,no option,226,others,LegendaryPictures,1,Brianhelgeland,2
Thriller,Crime,Drama,10,others,others,1,Ridleyscott,8
Action,Thriller,no option,42,others,others,1,Mikaelhåfström,2
Comedy,no option,no option,138,others,others,1,Jonlucas,4
Action,Crime,Thriller,31,others,others,1,Robertrodriguez,3
Crime,Drama,Comedy,3,others,others,1,Martinscorsese,4
Drama,no option,no option,226,others,others,133,Steverash,1
Adventure,Animation,Family,2,Pixar,others,3,Petersohn,1
Horror,Thriller,no option,78,others,others,1,Robzombie,3
Action,Thriller,no option,42,others,others,1,Garyfleder,1
Thriller,Horror,no option,24,others,others,1,Kevingreutert,1
Comedy,Action,Adventure,1,others,others,1,Guyritchie,6
Comedy,Action,Fantasy,1,others,others,1,Markwaters,3
Family,Fantasy,Animation,1,others,others,1,Jeremydegruson,2
Crime,Thriller,Action,1,others,others,1,Michaelmann,1
Horror,Romance,no option,2,others,LegendaryPictures,1,Guillermodeltoro,5
Drama,no option,no option,226,others,others,1,Ivanreitman,2
Drama,ScienceFiction,Mystery,3,others,others,2,Jamesmanera,1
Thriller,Crime,no option,6,others,others,1,Scottwalker,1
Action,Mystery,ScienceFiction,1,others,others,1,Wesball,3
Comedy,Music,Romance,1,others,others,1,Johncarney,2
Drama,no option,no option,226,WaltDisneyPictures,others,1,Craiggillespie,5
Crime,Action,ScienceFiction,1,others,others,1,Neillblomkamp,2
Comedy,Drama,no option,79,others,others,1,Jimwilson,1
Comedy,Drama,Family,3,others,others,1,Willgluck,4
Thriller,Action,no option,11,others,others,1,Erancreevy,2
Comedy,no option,no option,138,others,others,1,Nicholasstoller,5
Drama,Comedy,no option,40,others,others,1,Alejandrog.iñárritu,2
Comedy,no option,no option,138,others,others,1,Lukegreenfield,2
War,Action,Drama,2,others,others,1,Peterberg,5
Music,no option,no option,5,others,others,1,Nimródantal,1
Horror,no option,no option,50,others,others,1,Johnpogue,1
Comedy,Romance,no option,47,others,others,1,Nickcassavetes,1
Drama,Romance,no option,53,others,others,1,Paulhaggis,1
Thriller,no option,no option,32,others,others,1,Johnerickdowdle,2
Action,Drama,Thriller,11,others,others,1,Mcg,2
Drama,Romance,no option,53,others,others,1,Riteshbatra,1
Thriller,Crime,Drama,10,others,others,1,Guillaumecanet,1
War,Action,no option,1,others,others,1,Clinteastwood,8
Action,Adventure,ScienceFiction,31,others,others,1,Justinlin,4
Comedy,no option,no option,138,others,others,1,Dougellin,1
Action,Adventure,no option,7,others,others,1,Rennyharlin,4
Crime,Thriller,no option,20,others,others,1,Jeremysaulnier,2
Comedy,Western,no option,2,others,others,1,Sethmacfarlane,3
Comedy,no option,no option,138,others,others,133,Thornewinter,1
Crime,Comedy,Action,4,others,others,1,Phillord,3
Thriller,Crime,Horror,1,others,others,1,Scottderrickson,4
Comedy,Horror,no option,17,others,others,1,Michaeltiddes,3
Action,Adventure,no option,7,others,others,1,Brettratner,2
Comedy,Romance,no option,47,others,others,2,Timstory,6
Thriller,Mystery,Drama,3,others,others,1,Gillespaquet-brenner,1
